OrderID;Order_Date;Profit;Sales;State/Province;Customer_Segment;Customer_Name;City;Country;Order_Priority;Product_Category;Product_Container;Product_Sub-Category;Product_Name;Ship_Date;Ship_Mode;Discount;Order_Quantity;Product_Base_Margin;Shipping_Cost;Unit_Price
3;19/03/2016;-213,25;261,54;Bayern;Small_Business;Muhammed_MacIntyre;Haar;Germany;Low;Office_Supplies;Large_Box;Storage_&_Organization;Eldon_Base_for_stackable_storage_shelf,_platinum;26/03/2016;Regular_Air;0,04;6;0,8;35;38,94
6;26/07/2017;-4,64;6,93;Bayern;Corporate;Ruben_Dartt;Gilching;Germany;Not_Specified;Office_Supplies;Small_Pack;Scissors,_Rulers_and_Trimmers;Kleencut®_Forged_Office_Shears_by_Acme_United_Corporation;27/07/2017;Regular_Air;0,01;2;0,55;2,56;2,08
32;19/12/2016;-128,38;140,56;Baden-Württemberg;Corporate;Liz_Pelletier;Waghäusel;Germany;High;Technology;Small_Pack;Computer_Peripherals;Imation_3.5_IBM_Diskettes,_10/Box;20/12/2016;Regular_Air;0,04;15;0,79;8,99;8,46
32;19/12/2016;-1.748,56;1.761,40;Baden-Württemberg;Corporate;Liz_Pelletier;Waghäusel;Germany;High;Furniture;Jumbo_Box;Tables;KI_Conference_Tables;20/12/2016;Delivery_Truck;0,09;24;0,72;89,3;70,89
32;19/12/2016;-85,129;160,2335;Baden-Württemberg;Corporate;Liz_Pelletier;Waghäusel;Germany;High;Technology;Medium_Box;Telephones_and_Communication;Bell_Sonecor_JB700_Caller_ID;21/12/2016;Regular_Air;0,04;23;0,6;5,03;7,99
32;19/12/2016;1.054,82;2.808,08;Baden-Württemberg;Corporate;Liz_Pelletier;Waghäusel;Germany;High;Furniture;Medium_Box;Office_Furnishings;"Tenex_Contemporary_Contur_Chairmats_for_Low_and_Medium_Pile_Carpet,_Computer,_39""_x_49""";21/12/2016;Regular_Air;0,07;26;0,65;5,81;107,53
35;27/03/2017;60,72;288,56;Attiki;Corporate;Julie_Creighton;Víron;Greece;Not_Specified;Office_Supplies;Wrap_Bag;Pens_&_Art_Supplies;Dixon_Ticonderoga_Core-Lock_Colored_Pencils;28/03/2017;Regular_Air;0,03;30;0,52;2,25;9,11
35;27/03/2017;48,987;1.892,85;Attiki;Corporate;Julie_Creighton;Víron;Greece;Not_Specified;Technology;Small_Box;Telephones_and_Communication;CF_688;29/03/2017;Regular_Air;0,01;14;0,58;8,99;155,99
36;07/04/2017;657,477;2.484,75;Umbria;Home_Office;Sample_Company_A;Marsciano;Italy;Critical;Technology;Small_Box;Telephones_and_Communication;6162i;07/04/2017;Regular_Air;0,1;46;0,55;4,2;65,99
65;21/08/2016;1.470,30;3.812,73;Rheinland-Pfalz;Corporate;Tamara_Dahlen;Nieder-Ingelheim;Germany;Critical;Technology;Small_Pack;Computer_Peripherals;Verbatim_DVD-R,_4.7GB,_Spindle,_WE,_Blank,_Ink_Jet/Thermal,_20/Spindle;22/08/2016;Regular_Air;0,02;32;0,49;1,99;115,79
66;25/06/2014;7,57;108,15;Lombardia;Consumer;Arthur_Gainer;Cremona;Italy;Low;Office_Supplies;Wrap_Bag;Pens_&_Art_Supplies;Newell_340;25/06/2014;Regular_Air;0,09;41;0,56;0,7;2,88
69;07/11/2014;511,69;1.186,06;Nordrhein-Westfalen;Corporate;Jonathan_Doherty;Rheinbach;Germany;Not_Specified;Furniture;Small_Pack;Office_Furnishings;Advantus_Employee_of_the_Month_Certificate_Frame,_11_x_13-1/2;09/11/2014;Regular_Air;0,09;42;0,44;3,92;30,93
69;07/11/2014;0,35;51,53;Nordrhein-Westfalen;Corporate;Jonathan_Doherty;Rheinbach;Germany;Not_Specified;Office_Supplies;Wrap_Bag;Pens_&_Art_Supplies;Newell_308;09/11/2014;Express_Air;0,03;28;0,6;0,7;1,68
70;23/05/2016;2.057,17;7.804,53;Lombardia;Home_Office;Helen_Wasserman;Cremona;Italy;Low;Technology;Small_Box;Telephones_and_Communication;3285;28/05/2016;Regular_Air;0,05;46;0,59;5,99;205,99
70;23/05/2016;-107;90,05;Lombardia;Home_Office;Helen_Wasserman;Cremona;Italy;Low;Office_Supplies;Wrap_Bag;Rubber_Bands;Super_Bands,_12/Pack;28/05/2016;Regular_Air;0,03;48;0,82;2,58;1,86
96;20/09/2014;1.228,89;4.158,12;Hessen;Home_Office;Keith_Dawkins;Schlüchtern;Germany;High;Technology;Small_Box;Telephones_and_Communication;SC7868i;22/09/2014;Regular_Air;0,01;37;0,55;8,99;125,99
97;04/07/2015;28,24;75,57;Lombardia;Consumer;Craig_Yedwab;Treviglio;Italy;Medium;Office_Supplies;Small_Box;Labels;Avery_498;05/07/2015;Regular_Air;0,03;26;0,38;0,5;2,89
129;24/04/2018;-22,59;32,72;Campania;Corporate;Pauline_Chand;Qualiano;Italy;Low;Office_Supplies;Small_Box;Paper;Xerox_217;03/05/2018;Regular_Air;0,09;4;0,37;8,19;6,48
130;11/10/2017;71,75;575,11;Baden-Württemberg;Corporate;Roy_Collins;Herrenberg;Germany;High;Office_Supplies;Small_Box;Paper;Computer_Printout_Paper_with_Letter-Trim_Perforations;12/10/2017;Regular_Air;0,02;29;0,37;9,03;18,97
130;11/10/2017;-356,12;461,89;Baden-Württemberg;Corporate;Roy_Collins;Herrenberg;Germany;High;Technology;Medium_Box;Office_Machines;Canon_MP41DH_Printing_Calculator;13/10/2017;Express_Air;0,05;3;0,38;13,99;150,98
130;11/10/2017;-134,31;236,46;Baden-Württemberg;Corporate;Roy_Collins;Herrenberg;Germany;High;Office_Supplies;Small_Box;Storage_&_Organization;Filing/Storage_Totes_and_Swivel_Casters;14/10/2017;Regular_Air;0,05;23;0,6;9,45;9,71
132;14/11/2015;-86,196;192,814;Piemonte;Consumer;Emily_Phan;Orbassano;Italy;Medium;Technology;Medium_Box;Telephones_and_Communication;Bell_Sonecor_JB700_Caller_ID;15/11/2015;Regular_Air;0,03;27;0,6;5,03;7,99
132;14/11/2015;-603,8;4.011,65;Piemonte;Consumer;Emily_Phan;Orbassano;Italy;Medium;Furniture;Jumbo_Box;Bookcases;O'Sullivan_Elevations_Bookcase,_Cherry_Finish;17/11/2015;Delivery_Truck;0,05;30;0,69;54,74;130,98
134;04/10/2017;-310,21;1.132,60;Toscana;Home_Office;Michael_Dominguez;Pistoia;Italy;Not_Specified;Office_Supplies;Large_Box;Storage_&_Organization;Safco_Industrial_Wire_Shelving;06/10/2017;Regular_Air;0,01;11;0,82;35;95,99
135;25/03/2017;-89,25;125,85;Saarland;Consumer;Anne_Pryor;Ottweiler;Germany;Not_Specified;Technology;Small_Pack;Computer_Peripherals;"Imation_3.5"",_DISKETTE_44766_HGHLD3.52HD/FM,_10/Pack";27/03/2017;Regular_Air;0,09;25;0,64;4,62;4,98
166;15/02/2017;-126,093;567,936;Peloponnisos;Consumer;Valerie_Takahito;Kalamata;Greece;High;Technology;Small_Box;Telephones_and_Communication;i270;17/02/2017;Express_Air;0,02;10;0,55;8,99;65,99
193;11/01/2016;-37,04;174,89;Nordrhein-Westfalen;Consumer;Justin_Hirsh;Bonn;Germany;Critical;Office_Supplies;Medium_Box;Storage_&_Organization;Eldon_Simplefile®_Box_Office®;13/01/2016;Regular_Air;0,06;14;0,57;6,27;12,44
194;08/09/2017;-197,25;329,03;Bayern;Corporate;Maria_Zettner;Cham;Germany;Medium;Furniture;Wrap_Bag;Office_Furnishings;Master_Caster_Door_Stop,_Large_Neon_Orange;10/09/2017;Regular_Air;0,1;49;0,42;7,98;7,28
194;08/09/2017;-13,44;20,19;Bayern;Corporate;Maria_Zettner;Cham;Germany;Medium;Office_Supplies;Wrap_Bag;Scissors,_Rulers_and_Trimmers;Serrated_Blade_or_Curved_Handle_Hand_Letter_Openers;10/09/2017;Regular_Air;0,04;6;0,84;1,92;3,14
195;02/06/2016;260,87;1.315,74;Umbria;Home_Office;Brad_Thomas;Marsciano;Italy;Medium;Office_Supplies;Wrap_Bag;Pens_&_Art_Supplies;Dixon_Ticonderoga_Core-Lock_Colored_Pencils,_48-Color_Set;04/06/2016;Regular_Air;0,03;34;0,41;13,89;36,55
197;10/09/2016;33,22;310,52;Emilia-Romagna;Home_Office;Penelope_Sewall;Argenta;Italy;High;Office_Supplies;Small_Pack;Scissors,_Rulers_and_Trimmers;"Acme®_8""_Straight_Scissors";12/09/2016;Regular_Air;0,01;23;0,6;3,14;12,98
224;21/11/2014;-33,95;184,86;Campania;Corporate;Bart_Folk;Qualiano;Italy;Not_Specified;Furniture;Small_Box;Office_Furnishings;Eldon®_Expressions™_Wood_Desk_Accessories,_Oak;22/11/2014;Regular_Air;0,09;25;0,56;5,21;7,38
224;21/11/2014;-149,92;528,5;Campania;Corporate;Bart_Folk;Qualiano;Italy;Not_Specified;Office_Supplies;Small_Box;Storage_&_Organization;Decoflex_Hanging_Personal_Folder_File,_Blue;22/11/2014;Regular_Air;0,04;33;0,58;10,68;15,42
224;21/11/2014;-65,43;267,85;Campania;Corporate;Bart_Folk;Qualiano;Italy;Not_Specified;Office_Supplies;Small_Box;Paper;Xerox_193;22/11/2014;Regular_Air;0,04;44;0,36;5,15;5,98
225;28/10/2016;18,27;126,58;Niedersachsen;Home_Office;Karen_Ferguson;Stuhr;Germany;Critical;Office_Supplies;Wrap_Bag;Pens_&_Art_Supplies;Newell_314;29/10/2016;Regular_Air;0,06;24;0,6;0,7;5,58
225;28/10/2016;-8,97;23,7;Niedersachsen;Home_Office;Karen_Ferguson;Stuhr;Germany;Critical;Office_Supplies;Wrap_Bag;Pens_&_Art_Supplies;Prismacolor_Color_Pencil_Set;30/10/2016;Regular_Air;0,05;1;0,44;4,1;19,84
229;03/06/2016;98,44;586,11;Hessen;Consumer;Matt_Abelman;Friedrichsdorf;Germany;Critical;Furniture;Small_Pack;Office_Furnishings;Nu-Dell_Executive_Frame;05/06/2016;Regular_Air;0,11;43;0,48;4,98;12,64
229;03/06/2016;3,8165;599,1;Veneto;Consumer;Peter_Fuller;Mira;Italy;Critical;Office_Supplies;Small_Box;Binders_and_Binder_Accessories;GBC_Standard_Therm-A-Bind_Covers;04/06/2016;Regular_Air;0,02;24;0,39;12,98;24,92
230;01/04/2016;320,37;2.029,75;Attiki;Corporate;Erin_Creighton;Kholargós;Greece;Critical;Office_Supplies;Small_Pack;Pens_&_Art_Supplies;Boston_1645_Deluxe_Heavier-Duty_Electric_Pencil_Sharpener;03/04/2016;Regular_Air;0,06;47;0,58;8,99;43,98
230;01/04/2016;-212,333;1.118,40;Attiki;Corporate;Erin_Creighton;Kholargós;Greece;Critical;Technology;Small_Box;Telephones_and_Communication;StarTAC_ST7762;03/04/2016;Regular_Air;0,06;11;0,57;8,08;125,99
231;04/03/2015;-490,84;689,74;Piemonte;Small_Business;Sean_Braxton;Pinerolo;Italy;High;Office_Supplies;Small_Box;Appliances;Hoover_WindTunnel™_Plus_Canister_Vacuum;06/03/2015;Regular_Air;0,06;2;0,57;19,99;363,25
